Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC part#
796136-1,,BT1,TECO-796136-1_V,CMP-1684-00006-2,1,C70377
100uF,,C1,FP-UWT1H101MNL1GS-MFG,CMP-2000-07373-2,1,C445063
1000uF,,C2,FP-SVPF-F12-MFG,CMP-05427-000075-1,1,C236289
100uf,,C3,FP-SC-MFG,CMP-05427-000027-1,1,C128464
10uF,,"C4, C6, C30, C32",FP-GRM21B-0_1-IPC_C,CMP-2007-03453-2,4,C77075
1uF,,C5,FP-T491A105K016AT-MFG,CMP-2000-07186-2,1,C116269
0.1uF,,"C7, C8, C9, C13, C19, C20, C21, C22, C23, C29, C31",FP-C0805C-DN-MFG,"CMP-2100-03606-3, CMP-2007-00279-2",11,C49678
1nf,,"C10, C11, C12",CAPC2013X70X45NL10T25,CMP-2100-03606-3,3,C303890
15pF,,"C14, C15",FP-C0805C-DN-MFG,CMP-2007-00279-2,2,C396747
10nF,,"C16, C25",FP-C0805C-DN-MFG,CMP-2007-00279-2,2,C188188
1uF,,"C17, C26",FP-C0805C-DN-MFG,CMP-2007-00279-2,2,C89190
100nF,,C18,FP-C0805C-DN-MFG,CMP-2007-00279-2,1,C49678
4.7uF,,C24,FP-C0805C-DN-MFG,CMP-2007-00279-2,1,C215908
0.1uF,,C33,FP-CC0805-0_85-MFG,CMP-2100-03606-3,1,C49678
1N4007 SMD,,D1,FP-1N4007_SMD-IPC_C,CMP-12389-000001-1,1,C727081
APT2012MGC,,"D2, D4, D5",FP-APT2012MGC-MFG,CMP-1426-00010-2,3,C138557
1N5822US,,D3,MCSM-D-5B-2_L,CMP-0303-00003-3,1,C402219
1.5A,,F1,FP-0679H-MFG,CMP-2000-05188-2,1,C178994
20A,,F2,FP-0456-MFG,CMP-08605-000068-1,1,C99552
73412-0110,,"JGPS1, JLoRa1",MOLX-73412-0110_V,CMP-1676-00003-1,2,C411563
PC Terminal Block,,JCin,PHOE-1714955_V,CMP-2000-05797-1,1,C480584
0R,,"JR3, JR7",FP-RMCF0805-MFG,CMP-26527-000017-1,6,C25275
150 µH,,L1,WE-PD-XL,CMP-0227-00206-1,1,C169397
RFM95W-868S2,,MD1,FP-RFM95W-868S2-MFG,CMP-204316-000001-1,1,C2844472
USART Interface Port,,P1,JST-S4B-XH-A(LF)(SN)_V,CMP-1755-00007-1,1,C163037
HTSW-102-07-G-D,,P2,FP-HTSW-102-07-G-D-MFG,CMP-02766-000010-1,1,C66690
S2B-XH-A(LF)(SN),,P3,JST-S2B-XH-A(LF)(SN)_V,CMP-1755-00005-1,1,C157931
S3B-XH-A(LF)(SN),,PTemp,JST-S3B-XH-A(LF)(SN)_V,CMP-1755-00006-1,1,C157928
330R,,"R1, R8, R9",FP-CRCW0805-e3-MFG,CMP-02407-004193-1,3,C17630
5.6K,,"R2, R3, R4, R5",FP-CRCW0805-e3-MFG,CMP-02407-004193-1,4,C4382
510K,,R6,FP-CRCW0805-e3-MFG,CMP-02407-004193-1,1,C17724
30K,,R7,FP-CRCW0805-e3-MFG,CMP-02407-004193-1,1,C422839
0R,,"R10, R19",FP-CRCW0805-e3-MFG,CMP-02407-004193-1,2,C25275
10K,,"R11, R12, R13, R14, R15, R16, R17, R18",FP-CRCW0805-e3-MFG,CMP-02407-004193-1,8,C478887
473521001,,SD1,MOLX-473521001_V,CMP-2000-05848-1,1,C381079
LM2576-5.0WU,,U1,FP-TO263-5LD-PL-1-MFG,CMP-0069-00269-3,1,C77782
LM1117IMP-3.3/NOPB,,U2,DCY0004A_N,CMP-0062-01631-4,1,C126027
REF192GSZ,,U3,ADI-R-8_M,CMP-0784-00133-1,1,C27314
LM358MX/NOPB,,U4,D0008A_L,CMP-2000-07568-1,1,C16416
ACS712ELCTR-20A-T,,U5,FP-LC-8-IPC_C,CMP-0826-00001-2,1,C10681
STM32F103VET6TR,,U7,STM-LQFP100_L,CMP-0237-00166-3,1,C8314
L80-M39,,U8,QUEC-L80-M39-12_V,CMP-2000-05325-1,1,C133488
DS1307Z+T&R,,U9,S8+2_L,CMP-0254-00305-1,1,C9868
8Mhz,,Y1,FOX-FOXSLF080-20,CMP-1749-00002-1,1,C295071
AB26TRB-32.768KHZ-T,,Y2,FP-AB26TRB-MFG,CMP-27762-006068-1,1,C179645
