Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
R5,5.6K,Top,FP-CRCW0805-e3-MFG,15.24,49.19,270,C4382
R4,5.6K,Top,FP-CRCW0805-e3-MFG,13.757,45.72,0,C4382
U1,LM2576-5.0WU,Top,FP-TO263-5LD-PL-1-MFG,34.241,74.9305,90,C77782
R19,0R,Top,FP-CRCW0805-e3-MFG,56.007,80.899,270,C25275
PTemp,S3B-XH-A(LF)(SN),Top,JST-S3B-XH-A(LF)(SN)_V,5.334,46.482,90,C157928
JCin,,Top,PHOE-1714955_V,5.715,60.452,270,1714955
C31,0.1uF,Top,FP-CC0805-0_85-MFG,5.171,30.099,180,C49678
R11,10K,Top,FP-CRCW0805-e3-MFG,39.298,48.02,90,C478887
R10,0R,Top,FP-CRCW0805-e3-MFG,43.321,6.745,180,C25275
R9,330R,Top,FP-CRCW0805-e3-MFG,52.887,29.478,180,C17630
R8,330R,Top,FP-CRCW0805-e3-MFG,52.887,27.446,180,C17630
JLoRa1,73412-0110,Top,MOLX-73412-0110_V,2.849,16.905,90,C411563
JGPS1,73412-0110,Top,MOLX-73412-0110_V,41.711,3.062,180,C411563
D5,APT2012MGC,Top,FP-APT2012MGC-MFG,49.054,29.464,180,C434432
D4,APT2012MGC,Top,FP-APT2012MGC-MFG,49.022,27.432,180,C434432
C33,0.1uF,Top,FP-C0805C-DN-MFG,67.111,9.031,270,C49678
C30,10uF,Top,FP-GRM21B-0_1-IPC_C,69.143,9.031,270,C77075
C29,0.1uF,Top,FP-C0805C-DN-MFG,66.857,19.826,0,C49678
C26,1uF,Top,FP-C0805C-DN-MFG,30.535,45.849,270,C89190
C25,10nF,Top,FP-C0805C-DN-MFG,48.454,43.321,180,C188188
C24,4.7uF,Top,FP-C0805C-DN-MFG,22.026,44.845,180,C215908
C23,0.1uF,Top,FP-C0805C-DN-MFG,5.207,27.686,180,C49678
C22,0.1uF,Top,FP-C0805C-DN-MFG,43.616,17.286,0,C49678
C21,0.1uF,Top,FP-C0805C-DN-MFG,24.947,45.595,90,C49678
C20,0.1uF,Top,FP-C0805C-DN-MFG,25.975,18.81,180,C49678
C19,0.1uF,Top,FP-C0805C-DN-MFG,43.616,19.699,0,C49678
C17,1uF,Top,FP-C0805C-DN-MFG,15.168,32.526,270,C89190
C16,10nF,Top,FP-C0805C-DN-MFG,15.676,35.828,90,C188188
Y1,8Mhz,Top,FOX-FOXSLF080-20,25.963,37.633,90,C111806
JR7,0R,Top,FP-RMCF0805-MFG,17.2,32.399,270,C25275
JR3,0R,Top,FP-RMCF0805-MFG,33.456,44.972,180,C25275
C18,100nF,Top,FP-C0805C-DN-MFG,21.972,37.298,180,C49678
C15,15pF,Top,FP-C0805C-DN-MFG,21.972,39.738,180,C396747
C14,15pF,Top,FP-C0805C-DN-MFG,21.972,42.178,180,C396747
P1,USART Interface Port,Top,JST-S4B-XH-A(LF)(SN)_V,30.261,9.666,0,C157925
SD1,473521001,Top,MOLX-473521001_V,64.7145,29.884,-90,C293569
R15,10K,Top,FP-CRCW0805-E3-MFG,41.33,47.979,270,C478887
R16,10K,Top,FP-CRCW0805-E3-MFG,43.362,48.02,270,C478887
